Id,Name,Scientific name,Binomial,Plant Type,Height,Spread,Root Depth,Seasonal Interest,Notes,Flower Color,Root Type,Bloom Time,Fruit Time,Texture,Form,Growth Rate,Insect Predation,Disease,Light,Hardiness Zone,Soil Moisture,Soil pH,Ecological Function,Human Use/Crop
2180,Eastern Hay Scented Fern,Dennstaedtia punctilobula,DEPU,Fern,36,18,0,Spring-Summer,"Grows best in rich, humusy soils. Can tolerate full sun if given enough moisture. Spreads aggresively. One of the first ferns to colonize after fire. Tends to become ragged in late summer.",,Rhizome,,,Medium,Clump,Fast,Minor,Minor,"Partial_Shade, Shade",3 -- 8,"Moderate, Dry",4.5 - 6.8,"Groundcover, Insectory, Wildlife Habitat","Aromatics/Fragrance, Medicine, Ornamental"
7570,Ecklon's Lip Fern (Resurrection fern),Cheilanthes eckloniana,CHEC,Fern,18,18,1,All Year,"DISTRIBUTION: Lesotho, Naminia, South Africa (Confined to the eastern parts of south tropical Africa & southern Africa), Eswatini, Zimbabwe (Zim: C,E,S). - HABITAT: Shallow soils on sheetrock, boulder bases & in montane grassland. ALTITUDE: 2297 - 6,562 feet. GROWTH FORMS: Lithophyte, terrestrial. - PROPAGATION: Spoors. Division of the rootball/rhizomes, tubers, corms or bulbs (including offsets). Vegetative reproduction by the closely branched rhizome results in the formation of small clonal stands. Seasonal pattern is pronounced with new growth taking place during the rainy season only. Pyrophytic. - Rhizome creeping or ascending. Fronds tufted, erect, rigid, coriaceous, up to 18 inches (in shade), averaging 12 inches. The steely blue-green fronds emerge from the hairy tan croziers to form a deer-resistant clump. Evergreen. - Could be confused with C. inaequalis var. buchananii or C. inaequalis var. inaequalis but none of these have the shiny golden-brown scales along the costae & costules, & with both the basal pinnae are the largest & not reduced. Named after C.F. Ecklon (1795-1868), Danish pharmasist, botanist & plant collector, one of the earliest explorers of the Cape.",,"Rhizome, Fibrous Shallow",,,Medium,Clump,Moderate,Minor,Minor,"Full_Sun, Partial_Shade",7 -- 11,Moderate,5.0 - 7.3,"Air Cleaner, Nitrogen Fixer, Wildlife Food","Medicine, Medicine, Medicine, Medicine, Ornamental"
2614,Ghost Fern,Athyrium ghost,ATGH,Fern,30,24,0,Spring-Fall,"Best in organically rich, humusy, and well-draining soil.",,Rhizome,,,Medium,Clump,Moderate,Minor,Minor,"Partial_Shade, Shade",4 -- 9,Moderate,6.0 - 8.0,Groundcover,"Container Garden, Cut Flower, Ornamental"
8275,Giant Chain Fern (Western Chain Fern),Woodwardia fimbriata,WOFI,Fern,108,72,2,All Year,"Oregon native herbaceous perennial evergreen plant. Giant Chain Fern has been found in Texada and Vancouver Islands in British Columbia, and in the Puget Sound region of Washington where it is listed as sensitive. It is more common from southern Oregon and California to northwest Mexico, mostly near the coast, but can also be found inland in Arizona and Nevada. Native to the forests of the west coast of North America, it's the largest fern in North America. Its long fronds reach up to 8 feet in length. Its sori are short but broad and are arranged in neat lines (the characteristic that gives the chain ferns their name). The chain shape is visible on both surface & underside of each leaflet. It can be either evergreen or summer deciduous, depending on its growing conditions. Slight fragrance. Biomes/Growing conditions: Deer Resistance, Mesic, Oregon Coast, Western Native. Highly deer resistant. HABITAT: Mild, wet coastal forests. Sometimes found growing on seepy coastal cliffs or in desert areas near shady seeps. Moist areas near saltwater. Wetland designation: FACW, it usually occurs in wetlands, but is occasionally found in non-wetlands. Fronds grow upright or slightly bent, from",,Short Rhizome,,,Fine,Clump,Fast,Minor,Minor,"Full_Sun, Partial_Shade",7 -- 11,"Wet, Moderate",4.0 - 7.0,"Hedge, Reclamator","Container Garden, Fiber, Ornamental"
5324,Hard Fern (Deer Fern),Blechnum spicant,BLSP,Fern,24,24,2,All Year,"Blechnum spicant is an evergreen fern, forming cluster of fronds up to 24 inches tall & spreading slowly by short creeping rhizomes. RANGE: Europe - Norway to Spain, east to Ukraine and Greece; Asia - Caucasus, Turkey, Lebanon; Africa - Morocco to Tunisia; N. America - Alaska to California. HABITATS: Woods, heaths, moors, mountain grassland and on rocks; at ELEVATIONS to 3,937 feet. Wet coniferous woods & swamps, primarily along the coast & in coastal mountain ranges; at elevations to 4,953 feet in western N. America. Although cold tolerant, young growth in spring can be badly damaged by late frosts. A calcifuge plant, it prefers a moist shady nook in the rock garden or a position in open woodland in a moist soil. A polymorphic & very ornamental species, there are several named varieties. Members of this genus are rarely if ever troubled by browsing deer. PROPAGATION: Spores, Plantlets, Division in spring. Propagules adapted to wind & water dispersal. Resistant to Honey Fungus. This large imposing evergreen fern needs space to grow & rich humus woodland soil in shade. On mature plants bulbils form towards the end of the fronds; where these touch the ground they produce new plants.",,"Rhizome, Fibrous Shallow",,,Fine,Clump,Slow,Minor,Minor,"Full_Sun, Partial_Shade, Shade",5 -- 9,"Wet, Moderate",5.6 - 7.3,"Groundcover, Groundcover, Wildlife Food","Food, Food, Medicine, Ornamental"
355,Interrupted Fern,Osmunda claytoniana,OSCL,Fern,60,48,12,Spring-Fall,"One of the tallest ferns, multiple stems. The fertile fronds are in the middle of the blade. They wither early and fall off leaving a gap, hence the name of “interrupted fern.” This fern prefers dappled sunlight to light shade, moist to mesic conditions, and a slightly acidic soil containing loam or sandy loam with abundant organic material. It also adapts to shallow rocky soil. Adequate humidity and some protection from prevailing winds are required. Tolerates dry, shady or partial sun sites. Found most commonly on north facing slopes, ravines. Fronds turn yellow-gold in autumn. Caution: fiddleheads contain carcinogenic elements.",,"Fibrous Shallow, Long Rhizome",,,Medium,Clump,Moderate,Minor,Minor,"Partial_Shade, Shade",2 -- 9,"Wet, Moderate, Dry",4.0 - 6.0,"Erosion Control, Groundcover, Insectory, Wildlife Habitat","Fiber, Food, Medicine, Medicine, Ornamental"
5331,Japanese Holly Fern,Cyrtomium falcatum,CYFA,Fern,24,48,0,All Year,Evergreen in frost-free areas. Best in rich soils with good drainage. Tolerant of more sun than most ferns. Moderately tolerant of arsenic. Apogamous. The roots have been found colonized by mycorrhizae similar to those associated with orchids.,,Short Rhizome,Spring - Fall,,Coarse,Upright,Fast,Minor,Medium,"Full_Sun, Partial_Shade, Shade",6 -- 11,"Wet, Moderate",4.5 - 6.0,Groundcover,"Container Garden, Cut Flower, Medicine, Ornamental"
8745,Japanese Nest Fern (Bird's Nest Fern),Asplenium antiquum,ASAN,Fern,36,48,1,All Year,"Asplenium antiquum is a herbaceous evergreen perennial epiphytic species Japanese Nest Fern that roots itself to trees in it's natural habitat & warmer climates. Antiquum can readily be distinguished from the closely related Asplenium nidus by its fronds of uniform width and attractive wavy margins. Native to temperate East Asia, China, Japan, Korea, & Taiwan. Tropical Africa & Asia. Caribbean, Australia, & the United States. They grow on tropical rainforest trees as epiphytes which collect water & organic matter in their bowl-shaped rosettes. HABITATS: Cliffs, dark forests, & tree trunks. IUCN endangered species in its native habitats. - They get their name from their very unfernlike fronds—they’re simple & tongue-shaped rather than deeply cut like most fern fronds—& because they form an open, cuplike rosette much like a bird’s nest. Similar species: A. nidus & A. australasicum. ELEVATION: To 2,500 feet. PROPAGATION: By spores or from tissue culture. HABITAT: Bird’s-nest ferns are essentially epiphytes (plants that grow on tree trunks & branches), they’re also found on rock faces & sometimes fall to the ground & continue growing as terrestrial plants.",,"Rhizome, Fibrous Shallow",,,Coarse,Upright,Slow,Minor,Minor,"Partial_Shade, Shade",8 -- 12,Moderate,5.0 - 7.3,"Air Cleaner, Nitrogen Fixer, Wildlife Food","Container Garden, Food, Medicine, Medicine, Ornamental, Ornamental"
356,Japanese Painted Fern,Athyrium nipponicum 'Pictum',ATNI,Fern,22,20,12,Summer,"Needs well-drained, organically-rich soil.",,Short Rhizome,,,Fine,Clump,Moderate,Minor,Minor,"Partial_Shade, Shade",3 -- 8,"Wet, Moderate",6.0 - 7.0,Groundcover,"Container Garden, Cut Flower, Ornamental"
357,"Lady Fern (Asplenium Lady Fern, Tatting Fern)",Athyrium filix-femina,ATFI,Fern,40,40,12,Spring-Fall,"An easily grown plant, succeeding in rich, medium moisture, well-drained soil in part shade to full shade. It can tolerate full sun if the soil is kept constantly moist. A calcifuge plant that prefers an acid soil with a pH from 4.5 to 6.5, though it can tolerate alkaline soils if plenty of leaf mould is added. Grows well in heavy clay soils. Prefers a moist sheltered site with moderately high atmospheric humidity. Vigorous, useful as a background plant.",,Long Rhizome,,,Fine,Upright,Moderate,Minor,Minor,"Partial_Shade, Shade",2 -- 8,Moderate,4.5 - 6.5,"Groundcover, Reclamator, Wildlife Food","Food, Medicine, Medicine"
358,Long Beech Fern (Broad Beech Fern),Thelypteris phegopteris,THPH,Fern,24,24,12,Spring-Fall,"Commonly found in coniferous or deciduous woods or thickets growing in the humus or in ledges and crevices of cliffs in the northeastern part of Minnesota. Broad Beech Fern is a native fern that prefers moist, rich, well-drained, acidic soils in partial to deep shade. However, it can sometimes be found in sunny open areas with dry or semi-moist soil. The deciduous leaves are produced directly from the shallow rhizomes in spring and it can spread rapidly and become weedy. This is a medium-sized attractive plant that can be used in moist woodland and naturalized areas in a shady native garden. Forms colonies.",,Short Rhizome,,,Medium,Clump,Moderate,Minor,Minor,"Partial_Shade, Shade",5 -- 9,Moderate,4.0 - 6.0,"Erosion Control, Groundcover",Ornamental
359,Maidenhair Fern,Adiantum pedatum,ADPE,Fern,30,18,10,Spring-Fall,"Easily grown in average, medium, well-drained soil in part shade to full shade. The root system is fibrous and rhizomatous. Prefers moist, humusy, acidic soils in full shade. Spreads slowly by creeping, branching rhizomes to form large colonies over time. Some varieties of Maidenhair Ferns grow well on serpentine soils. Maidenhair ferns tend to grow well in highly organic soils.",,"Fibrous Shallow, Rhizome",,,Fine,Clump,Moderate,Minor,Minor,"Partial_Shade, Shade",2 -- 8,Moderate,4.5 - 6.5,"Groundcover, Wildlife Habitat","Fiber, Medicine, Medicine, Medicine, Ornamental, Soap"
2179,"Fern, Marginal Shield",Dryopteris marginalis,DRMA,Fern,24,18,12,All Year,"Evergreen. Easily grown on average well drained soils, but prefers those that are rich and humusy. Sends out shallow, non-colonizing roots.",,"Rhizome, Fibrous Shallow",,,Medium,Clump,Moderate,Minor,Minor,"Partial_Shade, Shade",3 -- 8,"Wet, Moderate",4.5 - 7.0,"Erosion Control, Groundcover, Wildlife Habitat","Container Garden, Cut Flower, Medicine, Ornamental"
360,Northern Marsh Fern (Eastern Marsh Fern),Thelypteris palustris,THPA,Fern,24,12,3,Spring-Fall,"Habitats include damp sandy thickets, damp sandy meadows, swamps, fens, edges of marshes and bogs, springs and gravelly seeps, and roadside ditches. The edges of the smallest divisions of the fertile fronds are rather prominently in-rolled.",,Long Rhizome,,,Fine,Clump,Moderate,Minor,Minor,"Full_Sun, Partial_Shade",2 -- 8,"Wet, Moderate",5.5 - 6.6,"Groundcover, Insectory, Wildlife Habitat","Medicine, Ornamental"
362,Ostrich Fern (Fiddlehead),Matteuccia struthiopteris,MAST,Fern,78,40,,Spring-Fall,"Tall, arching stems.",,Long Rhizome,,,,,Fast,Minor,Minor,"Full_Sun, Partial_Shade, Shade",2 -- 6,Moderate,5.0 - 8.0,Water Purifier,Food
7571,Parsley Fern (Parsley Lip Fern),Cheilanthes hirta,CHHI,Fern,12,18,2,All Year,"Cheilanthes hirta has rhizomes short creeping or erect, up to 5 mm in diameter; rhizome scales brown with dark central stripe and pale margins, awl-shaped, margin entire, up to 9 mm long. Fronds tufted, erect, rigid, herbaceous to fairly coriaceous. Stipe reddish to dark brown, up to 25 cm long, with reddish brown hairlike scales standing out stiffly from the stipe and with brown scales at the stipe base. It is is found in rock crevices and at boulders, exposed or partially shaded, in woodland. Altitude range: (metres) 1220 - 1520 m. Distribution: Angola, Botswana, Ethiopia, Kenya, Lesotho, Madagascar, Mauritius, Mozambique, Namibia, Réunion, South Africa, Eswatini, Tanzania, Uganda, Zimbabwe.",,"Rhizome, Fibrous Shallow",,,Medium,Spreading,Slow,Minor,Minor,"Full_Sun, Partial_Shade",8 -- 11,"Moderate, Dry",4.0 - 7.0,Reclamator,"Medicine, Medicine, Ornamental"
363,Polypody Fern,Polypodium virginianum,POVI,Fern,15,18,10,Spring-Fall,"Also known as the American wall fern, Virginiana polypody, or rockcap fern. The leaf blade is deeply cut, but not quite compound. Can be difficult to establish, but once adapted will naturalizes over time into large colonies by branched, creeping rhizomes. Is evergreen, and has a leathery texture. Good in rock gardens.",,Short Rhizome,,,,Clump,Moderate,Minor,Minor,"Partial_Shade, Shade",2 -- 6,Moderate,5.0 - 7.0,"Groundcover, Soil Builder","Food, Medicine, Ornamental"
364,Royal Fern (Flowering Fern),Osmunda regalis,OSRE,Fern,72,36,16,Spring-Fall,"Osmunda regalis, commonly called royal fern, is a tall, deciduous, native fern which usually occurs on moist bluffs and ledges and along streams (sometimes growing in the water). Habitat: wet, acidic swamps, bogs. Distribution: Europe and northern Africa, eastern North America. Typically grows in clumps to 5-6' tall, but with constant moisture can reach 6' in height. Broad fronds have large, well-separated pinnae (leaflets) which give this fern an almost pea-family appearance. Fronds typically turn yellow to brown in autumn. Spores are located in brown, tassel-like, fertile clusters at the tips of the fronds, thus giving rise to the additional common name of flowering fern for this plant. It is best grown in medium to wet soils in part shade. It prefers moist, rich, humusy, acidic soils, but adapts to lesser conditions. Also prefers cool summer climates where it tolerates close to full sun as long as given consistent moisture. Full sun exposure is not recommended. At suitable locations, this fern is long-lived (up to 100 years), but it develops and spreads slowly.",,Short Rhizome,,,Medium,Upright,Moderate,Minor,Minor,"Full_Sun, Partial_Shade, Shade",2 -- 9,"Wet, Moderate",4.0 - 6.0,"Groundcover, Insectory, Wildlife Habitat","Fiber, Fiber, Medicine, Ornamental"
365,Sensitive Fern,Onoclea sensibilis,ONSE,Fern,24,36,0,Spring-Fall,Quickly spreading fern that does best in moist locations. Grows well in multiple challenging locations -- name comes from its sensitivity to frost. Also known as the bead fern due to the sori appearance. Caution: toxic to livestock in large amounts.,,Long Rhizome,,,Coarse,,Fast,Minor,Minor,"Partial_Shade, Shade",2 -- 9,"Wet, Moderate",5.0 - 8.0,"Erosion Control, Groundcover, Mulch Maker, Wildlife Habitat","Dried Flower, Food, Medicine, Ornamental"
3207,"Fern, Sword (Boston Fern)",Nephrolepis exaltata,NEEX,Fern,60,60,25,,Best in nutrient-rich soil. Non-toxic to pets. Likes a humid environment. Re-emerges in the spring after being killed to soil in cooler parts of range.,,"Stolon, Rhizome",,,Medium,Rosette,Moderate,Minor,Minor,"Partial_Shade, Shade",9 -- 12,Moderate,5.6 - 7.5,"Erosion Control, Groundcover, Reclamator","Container Garden, Hanging Basket, Medicine, Ornamental"
366,Toothed Wood Fern (Spinulose Fern),Dryopteris carthusiana,DRCA,Fern,36,36,6,Spring-Fall,Deciduous in its northern range and evergreen in its southern range. . Formly known as Dryopteris spinulosa. Spores develop during summer. Prefers humusy soils with protection from wind. Reproduces vegetatively via rhizomes.,,"Long Rhizome, Fibrous Shallow",,,Medium,Clump,Moderate,,,"Partial_Shade, Shade",2 -- 6,"Wet, Moderate",5.0 - 6.0,"Groundcover, Insectory, Wildlife Food","Biomass, Container Garden, Cut Flower, Food, Medicine, Ornamental, Soap"
7572,Cheilanthes Lip Fern,Cheilanthes involuta,CHIN,Fern,10,16,2,All Year,"Rock-dwelling fern. Rhizome shortly creeping to ascending; rhizome scales reddish brown sometimes with central dark stripe, apex slowly tapering to a point, margin entire, sometimes minutely toothed. Fronds tufted, herbaceous to coriaceous. Stipe dark brown, grooved, set with brown to blackish scales up to 3 mm long, more so at the base. Lamina 3-24 cm × 2-13 cm, ovate to subdeltate in outline, 2-pinnate to 3-pinnatifid; ultimate segments oblong-ovate to subhastate, venation obscure, free, upper surface hairless, undersurface set with a few lanceolate scales along the costules. Rhachis & secondary rhachises with brown, lanceolate, hairlike scales. Sori linear, marginal; indusium continuous, suberose. - DISTRIBUTION WORLDWIDE: African, Madagascar, Socotra. - AFRICA: Angola, Botswana, Dem. Republic of Congo, Kenya, Lesotho, Mozambique, Namibia, South Africa, Tanzania , Uganda, Zambia, Zimbabwe. - HABITAT: Boulder bases & among rocks in woodland & grassland, stony places on lava hillsides, crevices in granite rocks. ELEVATIONS: 1312 - 8005 feet. Water thoroughly when soil is dry to the touch.",,"Rhizome, Fibrous Shallow",,,Medium,Spreading,Slow,Minor,Minor,"Full_Sun, Partial_Shade",8 -- 11,"Moderate, Dry",4.0 - 7.0,"Air Cleaner, Wildlife Food","Medicine, Medicine, Medicine"
2286,Rattlesnake Fern,Botrychium virginianum,BOVI,Fern,36,12,10,Spring-Summer,Deciduous fern. Needs organically rich soils.,,Rhizome,Fall - ?,,Fine,Upright,Moderate,Medium,Minor,"Partial_Shade, Shade",3 -- 10,Moderate,4.5 - 6.5,,"Food, Medicine"
2856,"Tree Fern, Dwarf",Blechnum gibbum,BLGI,Fern,4,3,0,All Year,Best in high humidity and fertile soils with good drainage. Somewhat tolerant of dry air. Intolerant of limey water.,,"Rhizome, Fibrous Shallow",,,Fine,Rosette,Fast,Medium,Minor,Partial_Shade,9 -- 11,"Wet, Moderate",5.5 - 6.5,Groundcover,"Container Garden, Ornamental"
2873,"Tree Fern, Rough",Cyathea australis,CYAU,Fern,25,20,0,All Year,May be deciduous in cool areas. Best in hummus-rich and well-drained soils. Tolerant of drought only once established and mature. Can tolerate full sun if roots are kept sufficiently moist.,,"Rhizome, Fibrous Shallow",,,Medium,Upright,Fast,Minor,Minor,Partial_Shade,8 -- 10,"Wet, Moderate",4.5 - 6.0,,"Container Garden, Ornamental"
